ID,Group,Feature_1,Feature_2,Feature_3
D168,B,2200.00,423.54,4412.05
D169,B,2737.61,410.36,5466.50
D170,B,2563.39,411.95,5124.71
D171,C,2684.17,390.13,-2286.44
D172,B,2563.75,414.53,5120.19
D173,A,2671.37,403.38,5994.47
D174,C,2369.79,420.84,-1925.85
D175,B,2293.15,430.21,4609.72
D176,C,2636.32,395.40,-2226.04
D177,A,2339.32,393.91,5059.69
D178,A,2362.09,387.04,5138.84
D179,B,2408.89,397.85,4823.94
D180,B,2503.50,394.27,5002.68
D181,C,2429.20,405.39,-2036.51
D182,A,2225.01,397.83,4679.76
D183,A,2371.28,394.58,5142.34
D184,B,2200.00,415.97,4393.43
D185,B,2625.05,385.93,5243.48
D186,B,2200.00,406.50,4409.50
D187,C,2279.12,393.91,-1883.48
D188,C,2510.43,410.87,-2096.77
D189,B,2352.09,420.78,4705.52
D190,C,2800.00,395.45,-2412.65
D191,C,2241.43,406.62,-1851.26
D192,B,2553.41,402.68,5110.55
D193,A,2492.14,388.01,5530.30
D194,B,2266.38,403.61,4508.63
D195,B,2604.66,404.34,5204.60
D196,C,2465.69,406.19,-2072.60
D197,A,2654.36,397.02,5986.34
D198,C,2664.70,401.41,-2257.03
D199,B,2800.00,382.79,5605.96
D200,A,2767.31,394.63,6320.79
D201,B,2426.16,408.34,4861.11
D202,C,2452.12,413.39,-2034.90
D203,B,2719.93,393.67,5434.95
D204,C,2631.05,401.57,-2234.92
D205,B,2628.03,403.42,5266.77
D206,A,2200.00,403.02,4579.21
D207,C,2495.13,408.11,-2083.38
D208,B,2352.39,372.73,4717.20
D209,C,2555.98,399.26,-2133.81
D210,C,2480.37,403.59,-2056.82
D211,C,2682.04,385.00,-2286.23
D212,B,2563.44,425.11,5108.82
D213,A,2657.27,402.42,5951.41
D214,B,2406.72,423.45,4806.86
D215,C,2311.11,388.14,-1903.13
D216,B,2417.99,386.39,4827.59
D217,C,2496.60,403.36,-2088.60
D218,B,2575.83,374.82,5152.87
D219,B,2800.00,403.22,5588.78
D220,C,2491.55,401.46,-2085.51
D221,B,2308.81,415.23,4622.40
D222,A,2430.80,410.52,5224.76
D223,C,2407.28,393.74,-1998.87
D224,A,2596.30,383.54,5846.16
D225,C,2200.00,425.68,-1781.40
D226,B,2512.65,388.12,5036.97
D227,B,2531.30,384.32,5048.28
D228,A,2546.44,383.73,5724.88
D229,C,2380.54,416.76,-1979.33
D230,A,2452.42,392.22,5395.05
D231,C,2215.19,388.69,-1854.26
D232,C,2401.34,402.07,-2009.38
D233,B,2391.43,396.90,4764.34
D234,B,2583.21,389.83,5161.60
D235,A,2268.76,411.31,4744.76
D236,B,2656.24,415.98,5304.40
D237,C,2798.90,414.78,-2374.54
D238,A,2200.00,411.50,4531.84
D239,B,2585.25,406.04,5178.12
D240,A,2635.38,373.36,6058.89
D241,B,2372.51,425.04,4746.69
D242,A,2420.55,404.53,5228.70
D243,C,2473.42,409.12,-2079.29
D244,B,2440.44,416.72,4872.37
D245,C,2438.20,421.50,-2008.24
D246,A,2200.00,406.28,4570.49
D247,B,2730.47,406.53,5472.17
D248,C,2715.92,391.01,-2315.67
D249,A,2337.33,400.50,5011.19
D250,A,2206.72,387.19,4689.89
D251,B,2604.21,389.20,5230.69
D252,B,2384.84,386.60,4786.67
D253,C,2528.39,397.66,-2134.36
D254,C,2436.13,415.74,-2008.52
D255,A,2638.31,447.56,5684.13
D256,A,2638.95,402.84,5916.27
D257,B,2354.88,379.77,4717.82
D258,A,2223.33,418.97,4563.42
D259,A,2200.00,395.49,4603.12
D260,A,2622.08,390.09,5922.64
D261,B,2262.23,403.15,4547.29
D262,A,2398.64,381.39,5279.65
D263,C,2380.74,403.34,-1979.66
D264,A,2489.49,398.67,5462.66
D265,C,2200.00,401.48,-1784.39
D266,C,2537.76,405.72,-2159.70
D267,B,2604.78,401.01,5182.39
D268,A,2517.68,400.25,5556.33
D269,A,2437.82,404.26,5291.16
D270,C,2519.48,406.23,-2119.00
D271,A,2579.81,384.53,5813.18
D272,B,2200.00,378.55,4406.44
D273,B,2800.00,399.08,5595.03
D274,B,2578.02,378.51,5142.87
D275,C,2369.52,401.31,-1979.33
D276,A,2421.81,414.08,5205.68
D277,B,2598.75,409.11,5191.20
D278,A,2476.78,384.28,5492.33
D279,B,2200.00,387.10,4401.23
D280,A,2800.00,404.92,6381.44
D281,B,2477.89,393.98,4971.73
D282,C,2704.03,395.25,-2306.17
D283,A,2361.59,408.95,5032.09
D284,B,2800.00,385.19,5605.69
D285,C,2557.27,393.98,-2154.56
D286,C,2621.77,388.00,-2234.24
D287,B,2290.95,384.35,4581.36
D288,C,2742.23,387.14,-2351.96
D289,A,2637.96,410.16,5862.24
D290,B,2760.37,400.78,5523.74
D291,A,2374.38,386.81,5176.82
D292,A,2403.79,396.53,5214.91
D293,A,2800.00,375.42,6512.88
D294,B,2288.00,389.00,4583.70
D295,B,2472.81,432.24,4948.73
D296,C,2727.38,398.65,-2316.25
D297,A,2519.54,410.97,5501.52
D298,B,2616.59,399.02,5219.46
D299,C,2420.11,405.22,-2001.15
D300,C,2574.01,409.95,-2164.29
D301,C,2238.69,383.43,-1839.86
D302,A,2800.00,399.54,6409.50
D303,B,2476.37,423.68,4979.00
D304,A,2363.96,388.07,5148.92
D305,A,2633.28,391.50,5953.12
D306,B,2407.86,395.38,4826.41
D307,C,2233.15,404.04,-1835.77
D308,B,2230.66,407.87,4459.24
D309,C,2638.75,419.01,-2237.28
D310,C,2468.09,407.49,-2079.18
D311,A,2473.26,399.07,5425.95
D312,B,2715.55,418.89,5440.61
D313,B,2274.63,410.56,4556.93
D314,C,2353.86,377.56,-1972.22
D315,A,2423.02,437.90,5089.95
D316,B,2518.87,426.55,5030.66
D317,A,2491.57,397.48,5484.04
D318,A,2442.62,405.67,5308.37
D319,B,2487.67,419.87,4980.55
D320,C,2478.54,397.42,-2083.64
D321,C,2356.08,410.96,-1929.27
D322,A,2337.40,416.57,4913.86
D323,B,2554.90,384.78,5103.58
D324,A,2321.82,390.97,5007.23
D325,A,2268.53,413.82,4746.28
D326,A,2437.54,406.91,5278.09
D327,A,2468.47,413.86,5320.98
D328,B,2800.00,398.01,5606.17
D329,A,2359.06,395.66,5111.91
D330,C,2688.65,370.02,-2309.76
D331,B,2649.44,382.81,5306.31
D332,C,2262.21,400.71,-1884.00
D333,A,2654.65,412.37,5891.31
D334,C,2263.22,407.97,-1849.47
D335,A,2200.00,398.08,4608.96
D336,B,2621.26,395.92,5248.80
D337,A,2200.00,403.26,4568.52
D338,C,2590.19,401.17,-2189.75
D339,C,2363.20,421.07,-1958.81
D340,A,2800.00,402.20,6365.57
D341,C,2713.70,377.78,-2332.37
D342,C,2409.32,380.91,-2018.30
D343,B,2362.43,422.78,4727.81
D344,C,2257.18,382.43,-1875.15
D345,A,2411.82,411.47,5159.36
D346,B,2443.93,395.97,4899.93
D347,A,2427.06,397.45,5293.39
D348,B,2531.34,397.99,5086.20
D349,A,2615.70,418.32,5766.82
D350,B,2569.93,397.11,5115.80
D351,C,2347.17,399.50,-1938.61
D352,C,2212.44,377.04,-1852.16
D353,A,2772.91,403.10,6294.10
D354,C,2362.11,407.97,-1957.15
D355,C,2369.54,403.59,-1967.08
D356,B,2395.76,420.97,4796.30
D357,B,2200.00,400.83,4387.73
D358,A,2404.41,404.48,5176.98
D359,B,2404.07,424.73,4815.34
D360,B,2624.07,376.75,5247.98
D361,C,2639.69,393.16,-2244.44
D362,A,2500.75,421.39,5368.98
D363,B,2686.37,414.04,5370.61
D364,B,2567.99,410.18,5125.30
D365,C,2496.86,412.49,-2095.42
D366,A,2532.19,404.91,5583.09
D367,A,2461.87,424.47,5250.09
D368,C,2421.03,405.67,-2028.48
D369,B,2446.45,403.60,4888.93
D370,B,2274.40,402.38,4554.20
D371,A,2556.09,402.89,5643.19
D372,C,2301.38,382.64,-1903.92
D373,C,2668.33,411.56,-2239.37
D374,B,2450.11,398.04,4889.64
D375,A,2509.90,427.33,5390.11
D376,B,2598.77,398.87,5188.19
D377,C,2628.66,406.31,-2242.57
D378,C,2200.00,403.70,-1792.66
D379,A,2458.62,390.62,5431.58
D380,B,2676.04,414.88,5376.21
D381,C,2200.00,428.58,-1782.19
D382,B,2577.46,399.78,5170.95
D383,A,2200.00,395.49,4638.64
D384,B,2295.50,394.67,4593.37
D385,A,2507.73,371.61,5672.33
D386,A,2200.00,397.33,4623.82
D387,B,2302.90,403.76,4629.48
D388,B,2205.63,415.82,4417.00
D389,A,2800.00,414.40,6327.27
D390,B,2532.85,393.75,5055.30
D391,B,2613.46,395.85,5230.58
D392,C,2455.46,416.86,-2026.32
D393,B,2429.31,397.40,4861.56
D394,B,2200.00,392.35,4390.64
D395,C,2441.63,420.89,-2019.68
D396,C,2347.70,415.56,-1933.69
D397,B,2671.58,400.28,5346.35
D398,B,2728.22,391.09,5436.50
D399,C,2793.32,369.82,-2416.88
D400,A,2670.51,408.85,5974.45
D401,C,2380.27,386.55,-1988.38
D402,B,2276.82,370.56,4553.60
D403,C,2653.33,423.77,-2251.23
D404,B,2571.26,409.72,5142.29
D405,C,2200.00,382.91,-1804.36
D406,C,2571.10,381.78,-2199.63
D407,A,2662.90,413.06,5899.52
D408,B,2511.79,386.83,5005.08
D409,C,2462.99,419.44,-2039.78
D410,A,2338.47,409.25,4973.65
D411,C,2210.69,408.05,-1792.01
D412,B,2660.06,406.07,5319.46
D413,C,2438.18,402.87,-2053.31
D414,A,2453.31,413.21,5284.06
D415,A,2800.00,393.19,6443.88
D416,A,2636.90,401.29,5905.94
D417,A,2574.17,411.28,5673.90
D418,C,2528.41,408.44,-2114.75
D419,C,2800.00,382.08,-2420.38
D420,C,2800.00,392.49,-2409.59
D421,A,2685.90,403.79,6061.03
D422,C,2616.44,393.88,-2217.59
D423,C,2200.00,426.62,-1774.92
D424,B,2524.74,394.10,5054.95
D425,B,2473.98,397.57,4950.63
D426,B,2518.79,411.54,5011.69
D427,A,2688.61,404.96,6048.84
D428,A,2200.00,397.82,4632.75
D429,A,2386.14,388.65,5205.79
D430,A,2553.98,404.52,5656.78
D431,C,2406.63,415.59,-1994.13
D432,C,2216.62,407.19,-1805.91
D433,B,2673.79,388.33,5360.43
D434,B,2555.37,426.05,5102.11
D435,C,2305.78,378.30,-1912.57
D436,A,2562.96,376.26,5793.02
D437,B,2664.32,414.41,5318.13
D438,A,2501.06,403.39,5479.12
D439,A,2660.11,391.76,6029.50
D440,B,2515.65,383.52,5027.21
D441,B,2420.95,434.81,4823.67
D442,B,2268.12,401.76,4533.63
D443,C,2482.81,408.01,-2084.21
D444,C,2538.86,404.77,-2125.31
D445,C,2675.17,406.52,-2272.76
D446,B,2476.98,408.10,4954.81
D447,C,2591.48,410.99,-2185.36
D448,A,2307.08,394.37,4954.58
D449,C,2343.47,395.63,-1950.05
D450,B,2477.92,373.88,4959.75
D451,A,2289.07,388.30,4894.63
D452,C,2664.05,404.07,-2258.82
D453,B,2592.63,415.68,5190.22
D454,B,2555.82,408.99,5109.25
D455,C,2567.78,394.89,-2164.86
D456,B,2800.00,381.05,5608.86
D457,A,2406.23,358.34,5442.63
D458,C,2200.00,417.28,-1781.47
D459,B,2539.86,391.16,5056.75
D460,C,2489.88,393.27,-2124.03
D461,C,2396.50,401.97,-2013.74
D462,C,2304.23,378.92,-1925.77
D463,B,2412.16,394.75,4822.44
D464,C,2536.27,430.35,-2102.60
D465,C,2399.44,407.58,-1999.36
D466,B,2800.00,405.39,5591.16
D467,B,2307.90,376.26,4622.46
D468,A,2341.38,433.65,4863.73
D469,C,2200.00,378.66,-1824.42
D470,C,2550.30,428.83,-2121.92
D471,A,2200.00,368.27,4763.48
D472,A,2392.11,421.08,5076.98
D473,B,2444.87,424.27,4876.00
D474,A,2358.05,387.63,5127.36
D475,A,2800.00,406.34,6353.54
D476,B,2698.88,408.21,5391.67
D477,A,2763.83,387.79,6362.26
D478,B,2323.52,378.26,4653.59
D479,B,2725.72,380.23,5438.26
D480,C,2599.20,408.12,-2184.94
D481,C,2654.28,398.72,-2254.53
D482,A,2705.89,391.54,6154.06
D483,C,2318.25,414.50,-1920.62
D484,A,2415.14,407.62,5205.21
D485,B,2672.52,388.67,5353.20
D486,A,2200.00,381.98,4664.13
D487,B,2800.00,407.85,5595.25
D488,C,2610.63,391.94,-2191.64
D489,B,2490.86,401.49,4989.79
D490,C,2544.10,423.64,-2117.34
D491,C,2294.01,407.53,-1895.32
D492,C,2430.01,387.07,-2051.09
D493,B,2720.06,402.41,5439.11
D494,C,2759.60,385.71,-2354.66
D495,A,2800.00,424.13,6284.95
D496,B,2485.22,391.58,4959.96
D497,B,2368.29,403.11,4750.70
D498,B,2397.15,404.62,4790.80
D499,A,2296.39,402.39,4897.60
D500,B,2484.43,370.62,4962.06
D501,A,2576.55,378.30,5826.08
D502,C,2493.15,393.21,-2097.84
D503,A,2719.27,404.79,6145.64
D504,B,2453.16,397.93,4918.76
D505,A,2430.51,385.64,5365.23
D506,A,2383.75,379.77,5240.51
D507,C,2200.00,393.98,-1812.09
D508,C,2200.00,392.97,-1831.25
D509,A,2264.17,407.69,4743.09
D510,B,2760.29,395.11,5518.43
D511,C,2679.05,409.04,-2265.34
D512,C,2774.99,391.08,-2387.99
D513,A,2233.56,396.16,4719.19
D514,C,2200.00,394.78,-1809.97
D515,C,2367.99,388.26,-1970.71
D516,C,2535.16,409.38,-2136.58
D517,B,2599.74,387.80,5209.53
D518,B,2709.59,392.18,5442.72
D519,C,2556.86,398.90,-2152.28
D520,C,2800.00,380.54,-2425.79
D521,B,2455.48,395.13,4904.52
D522,A,2317.38,389.33,5020.02
D523,C,2200.00,394.18,-1819.34
D524,B,2322.21,399.10,4632.97
D525,A,2548.42,388.00,5691.29
D526,B,2322.26,396.70,4629.17
D527,C,2687.35,419.63,-2280.26
D528,B,2782.47,399.61,5574.41
D529,A,2200.00,417.18,4527.33
D530,B,2672.81,405.20,5337.26
D531,C,2200.00,411.61,-1785.90
D532,C,2580.30,388.38,-2182.81
D533,B,2744.97,401.57,5491.15
D534,C,2512.97,402.01,-2122.42
D535,C,2244.06,390.81,-1870.90
D536,B,2382.91,387.66,4777.95
D537,B,2447.67,377.65,4901.30
D538,C,2463.55,422.44,-2034.19
D539,C,2459.42,385.41,-2087.30
D540,A,2478.02,420.19,5335.92
D541,C,2542.70,392.99,-2142.16
D542,B,2258.29,387.06,4520.34
D543,B,2451.60,409.34,4894.25
D544,C,2800.00,390.53,-2397.32
D545,B,2423.07,408.53,4827.81
D546,A,2411.23,395.01,5269.80
D547,B,2715.64,407.21,5444.25
D548,A,2200.00,385.48,4691.48
D549,C,2736.28,412.47,-2327.92
D550,C,2373.62,407.32,-1978.29
D551,C,2532.79,386.21,-2137.05
D552,B,2519.26,439.64,5030.14
D553,B,2688.49,408.10,5377.52
D554,A,2446.48,434.36,5163.85
D555,B,2364.39,424.00,4717.96
D556,A,2759.57,397.17,6296.72
D557,C,2200.00,393.82,-1822.89
D558,A,2504.07,393.95,5549.57
D559,C,2230.41,372.55,-1869.47
D560,B,2347.69,389.56,4674.59
D561,A,2800.00,403.70,6380.89
D562,A,2491.08,422.89,5363.98
D563,C,2539.01,388.41,-2143.68
D564,A,2200.00,413.23,4543.67
D565,A,2354.19,381.21,5128.27
D566,A,2539.31,391.21,5649.85
D567,C,2570.95,393.14,-2176.54
D568,B,2623.38,405.58,5264.98
D569,B,2501.73,406.86,5012.86
D570,B,2605.40,414.44,5233.62
D571,A,2590.76,411.56,5708.16
D572,B,2200.00,403.65,4403.29
D573,B,2507.40,405.86,5001.60
D574,A,2653.58,423.83,5836.75
D575,B,2617.98,392.34,5227.13
D576,B,2427.23,411.62,4846.85
D577,C,2338.87,372.88,-1970.72
D578,B,2276.34,406.17,4552.71
D579,B,2473.79,392.75,4947.84
D580,C,2726.62,400.04,-2320.06
D581,B,2200.00,415.60,4401.68
D582,C,2368.02,402.47,-1969.68
D583,C,2272.04,413.28,-1865.03
D584,C,2656.99,422.11,-2238.57
D585,C,2389.14,405.84,-1988.69
D586,B,2405.87,417.57,4817.64
D587,B,2456.61,395.10,4923.61
D588,C,2589.08,399.88,-2173.91
D589,C,2421.52,392.16,-2038.93
D590,C,2200.00,415.64,-1778.72
D591,A,2608.66,406.21,5778.19
D592,A,2587.81,392.39,5805.95
D593,C,2456.09,402.32,-2040.78
D594,C,2283.19,415.62,-1869.36
D595,A,2570.36,399.41,5726.88
D596,B,2575.85,385.77,5138.03
D597,C,2405.99,401.98,-2014.68
D598,B,2456.65,370.29,4911.68
D599,B,2313.97,411.53,4640.20
D600,B,2464.28,393.68,4923.56
D601,B,2200.00,392.96,4394.56
D602,C,2583.46,413.14,-2182.23
D603,A,2311.13,379.52,5038.20
D604,B,2547.62,429.21,5110.20
D605,B,2218.81,392.80,4446.02
D606,B,2381.99,392.15,4772.34
D607,C,2477.90,415.32,-2065.07
D608,A,2200.00,410.63,4540.09
D609,A,2523.03,436.77,5393.37
D610,B,2424.17,396.83,4847.96
D611,C,2200.00,398.19,-1803.89
D612,B,2239.35,377.81,4489.48
D613,C,2621.02,395.02,-2228.38
D614,B,2679.11,389.18,5348.17
D615,A,2473.62,393.27,5465.42
D616,C,2580.95,373.84,-2206.15
D617,B,2544.77,424.91,5077.09
D618,B,2565.92,378.75,5118.49
D619,B,2757.20,357.97,5515.54
D620,C,2200.00,382.17,-1789.78
D621,A,2635.29,390.94,5946.45
D622,A,2423.60,382.76,5352.98
D623,A,2455.15,416.47,5301.36
D624,A,2439.55,397.93,5328.30
D625,B,2424.97,400.38,4832.56
D626,B,2254.76,409.16,4490.65
D627,A,2536.67,404.29,5603.27
D628,B,2800.00,414.68,5608.00
D629,B,2488.77,383.36,4987.46
D630,B,2499.72,391.79,4998.75
D631,C,2362.54,409.99,-1961.27
D632,B,2476.51,361.98,4950.40
D633,C,2593.23,379.37,-2212.23
D634,A,2425.95,407.51,5230.22
D635,B,2409.24,392.80,4825.22
D636,C,2580.65,414.04,-2181.73
D637,A,2316.40,412.14,4884.52
D638,B,2550.50,382.03,5098.55
D639,B,2664.06,406.10,5319.84
D640,A,2771.99,418.03,6199.38
D641,C,2481.92,402.21,-2074.34
D642,A,2773.52,385.34,6384.80
D643,C,2706.88,413.19,-2277.78
D644,B,2300.76,409.53,4597.41
D645,B,2256.41,408.14,4506.33
D646,A,2439.01,410.74,5264.42
D647,B,2705.79,355.08,5424.22
D648,B,2485.54,413.21,4964.32
D649,A,2379.87,427.12,5016.17
D650,A,2800.00,406.55,6384.54
D651,C,2557.38,402.89,-2142.61
D652,B,2200.00,410.45,4419.52
D653,A,2563.43,405.07,5680.44
D654,A,2604.01,409.78,5781.32
D655,C,2545.12,400.02,-2125.85
D656,A,2589.94,388.50,5829.83
D657,A,2486.54,384.94,5529.81
D658,C,2236.32,385.03,-1878.44
D659,A,2425.86,379.40,5364.68
D660,A,2310.88,383.98,5007.33
D661,B,2313.45,426.42,4622.32
D662,B,2247.39,411.31,4492.94
D663,C,2590.50,390.62,-2211.88
D664,A,2519.58,394.14,5568.87
D665,A,2410.37,401.69,5221.10
D666,A,2370.13,390.17,5157.29
D667,C,2495.32,401.01,-2103.99
D668,B,2715.84,411.66,5422.77
D669,A,2200.00,399.46,4591.40
D670,B,2575.38,405.04,5145.99
D671,B,2390.86,413.30,4771.44
D672,A,2200.00,395.92,4635.53
D673,B,2200.00,404.27,4402.89
D674,B,2317.44,395.36,4623.22
D675,A,2543.90,399.57,5630.48
D676,B,2578.61,395.13,5143.06
D677,A,2312.20,392.07,4988.42
D678,A,2703.40,402.61,6113.79
D679,C,2784.60,408.50,-2361.07
D680,A,2579.22,402.19,5712.94
D681,A,2381.72,407.48,5106.66
D682,B,2724.88,388.93,5444.95
D683,A,2651.08,381.94,6050.26
D684,A,2673.48,406.26,5977.07
D685,C,2368.71,410.32,-1966.50
D686,A,2200.00,400.75,4591.30
D687,A,2800.00,420.22,6300.74
D688,B,2200.00,413.62,4408.33
D689,A,2492.85,440.21,5273.55
D690,B,2800.00,396.99,5607.97
D691,C,2566.12,385.02,-2171.23
D692,B,2689.85,388.90,5377.14
D693,B,2200.00,391.52,4385.05
D694,B,2200.00,407.14,4385.95
D695,A,2393.46,367.63,5349.33
D696,B,2718.15,419.78,5430.59
D697,C,2430.75,396.41,-2054.89
D698,A,2341.07,396.30,5049.08
D699,C,2539.59,383.81,-2154.23
D700,C,2716.39,398.29,-2334.97
D701,C,2211.01,400.20,-1796.66
D702,A,2257.89,398.17,4792.86
D703,A,2342.27,405.09,5003.03
D704,C,2718.93,391.16,-2343.06
D705,A,2546.96,386.56,5691.25
D706,C,2800.00,408.22,-2395.46
D707,C,2687.29,401.48,-2306.38
D708,B,2492.98,402.96,4990.82
D709,B,2753.02,415.89,5489.10
D710,A,2542.30,384.66,5705.57
D711,A,2359.02,387.17,5137.73
D712,A,2635.99,418.86,5822.23
D713,C,2360.73,377.76,-1994.23
D714,C,2441.92,380.36,-2058.28
D715,A,2765.56,412.27,6218.59
D716,C,2479.74,403.57,-2066.62
D717,B,2339.37,401.58,4677.36
D718,A,2407.13,398.63,5234.22
D719,A,2704.36,400.47,6094.88
D720,C,2389.49,398.62,-1984.88
D721,C,2422.63,420.33,-1998.62
